,geometry,osid,theme,changetype,name1_text,name2_text,roadlinkid,description,versiondate,name1_language,name2_language,routehierarchy,geometry_length_m,alternatename1_text,alternatename2_text,capturespecification,versionavailabletodate,alternatename1_language,alternatename2_language,roadclassificationnumber,versionavailablefromdate,presenceofpavement_source,presenceofpavement_sideofroad,presenceofpavement_updatedate,presenceofpavement_evidencedate,presenceofpavement_capturemethod,presenceofpavement_averagewidth_m,presenceofpavement_minimumwidth_m
1,"LINESTRING (-2.0940903 57.1336744, -2.0942226 57.1337282, -2.0942439 57.133734)",3cb38aab-c5e2-499f-a3ce-aa8862884432,Transport,Modified Attributes,Grampian Place,,c0e4d364-25b5-44d4-baa6-12bfaefd65d6,Pavement,2023-11-10,,,Local Road,11.445,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2018-10-26,Automated Process,1.9,1.1
2,"LINESTRING (-2.0943711 57.1337823, -2.0943549 57.1338)",4716c7bf-a2c6-402a-adb9-0ca513c1be48,Transport,New,Wellington Road,,b34ce50f-36a6-4fb8-8d7e-49111325186f,Pavement,2023-09-14,,,A Road,2.196,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2019-08-25,Automated Process,1.1,0.7
3,"LINESTRING (-2.0944704 57.133728, -2.0944043 57.133746, -2.0943755 57.1337775)",565da369-0d8a-41b3-95dd-83e642d5ab91,Transport,New,Wellington Road,,b34ce50f-36a6-4fb8-8d7e-49111325186f,Pavement,2023-09-14,,,A Road,8.389,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2014-11-09,Automated Process,0.4,0.4
4,"LINESTRING (-2.0940903 57.1336744, -2.094305 57.1336832, -2.0943876 57.1336742, -2.0944537 57.1336651, -2.0945361 57.1336112)",5cfb6e51-2bcd-4a53-9983-70b7934833f2,Transport,Modified Attributes,Grampian Place,,66819ad7-07e9-4e08-b9d5-49e270c1e6c6,Pavement,2023-11-10,,,Local Road,30.071,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2018-10-26,Automated Process,2.9,1.11
5,"LINESTRING (-2.0944537 57.1336651, -2.0945361 57.1336112)",5e830c9a-0c34-4de3-8d6f-59a0682260ab,Transport,Modified Attributes,Grampian Place,,66819ad7-07e9-4e08-b9d5-49e270c1e6c6,Pavement,2023-11-10,,,Local Road,7.81,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2014-11-09,Automated Process,1.98,1.21
6,"LINESTRING (-2.0941814 57.1341011, -2.0940753 57.1342853, -2.0940408 57.1343418)",6fe06ebd-dcce-4377-bd96-3389bece39ff,Transport,New,Wellington Road,,79c2c338-6fc2-4b0c-83cc-2553960f6981,Pavement,2023-09-14,,,A Road,28.118,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2019-08-25,Automated Process,2.14,1.05
7,"LINESTRING (-2.0945361 57.1336112, -2.0944894 57.1336942)",71fe83d2-6af3-4bc5-b595-e4586746905f,Transport,Modified Attributes,Wellington Road,,efe6fa60-9a0e-478e-97b5-73bd542dc61a,Pavement,2023-11-10,,,A Road,9.67,,,Urban,,,,A956,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2018-10-26,Automated Process,2.73,1.38
8,"LINESTRING (-2.0944704 57.133728, -2.094487 57.1337729, -2.0941734 57.1344214)",7275921d-547d-43c4-b083-c67faac3df07,Transport,New,Wellington Road,,4b8317a3-abe1-49cc-a5af-e12d191a1503,Pavement,2023-09-14,,,A Road,79.741,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2014-11-09,Automated Process,2.7,1.04
9,"LINESTRING (-2.0940941 57.133676, -2.0942226 57.1337282, -2.0942887 57.1337461, -2.0943549 57.1338)",73ece0d2-42ed-4097-987d-810b1d15ac1c,Transport,Modified Attributes,Grampian Place,,c0e4d364-25b5-44d4-baa6-12bfaefd65d6,Pavement,2023-11-10,,,Local Road,21.395,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-08-25,Automated Process,3.38,0.9
10,"LINESTRING (-2.0946787 57.131781, -2.0946968 57.1318055, -2.0947797 57.1319402, -2.0948296 57.1320659, -2.0948795 57.1322096, -2.094913 57.1323982, -2.0949132 57.132479, -2.0948971 57.1326318, -2.094881 57.1327845, -2.0947497 57.1331439, -2.0945855 57.1335123, -2.0945361 57.1336112)",84db70c9-e800-47ee-861b-21af12ddf4ae,Transport,Modified Attributes,Wellington Road,,5670e60f-8716-45f3-87e5-242e7310b158,Pavement,2023-11-10,,,A Road,207.893,,,Urban,,,,A956,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2018-10-26,Automated Process,2.34,1.15
11,"LINESTRING (-2.0940903 57.1336744, -2.0930697 57.1335365)",8eb59e0e-d8ab-4cd1-9059-142183c565d2,Transport,New,Grampian Place,,10a2ae14-ab8a-41eb-8e23-c2ad2bcddc8e,Pavement,2023-09-14,,,Local Road,63.658,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-08-25,Automated Process,3.09,0.68
12,"LINESTRING (-2.0940903 57.1336744, -2.0943048 57.1336832)",916cf14a-7511-4e19-ae12-8671e708d811,Transport,Modified Attributes,Grampian Place,,66819ad7-07e9-4e08-b9d5-49e270c1e6c6,Pavement,2023-11-10,,,Local Road,13.024,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-08-25,Automated Process,2.58,1.0
13,"LINESTRING (-2.0940903 57.1336744, -2.0930697 57.1335365)",95ea3fc7-f937-4b55-8bd2-a73de8a9e1a8,Transport,New,Grampian Place,,10a2ae14-ab8a-41eb-8e23-c2ad2bcddc8e,Pavement,2023-09-14,,,Local Road,63.658,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2018-10-26,Automated Process,2.93,1.37
14,"LINESTRING (-2.0945361 57.1336112, -2.0944704 57.133728)",a21d87de-b1e6-4118-aada-4a4730b8a76c,Transport,Modified Attributes,Wellington Road,,efe6fa60-9a0e-478e-97b5-73bd542dc61a,Pavement,2023-11-10,,,A Road,13.601,,,Urban,,,,A956,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2014-11-09,Automated Process,2.34,1.46
15,"LINESTRING (-2.0946693 57.1317683, -2.0946968 57.1318055, -2.0947797 57.1319402, -2.0948296 57.1320659, -2.0948795 57.1322096, -2.094913 57.1323982, -2.0949132 57.132479, -2.0948971 57.1326318, -2.094881 57.1327845, -2.0947497 57.1331439, -2.0945855 57.1335123, -2.0945371 57.1336093)",d7bdb593-eb7e-49fb-91f8-0075c8caa922,Transport,Modified Attributes,Wellington Road,,5670e60f-8716-45f3-87e5-242e7310b158,Pavement,2023-11-10,,,A Road,209.207,,,Urban,,,,A956,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2014-11-09,Automated Process,2.43,1.24
0,"LINESTRING (-2.3544712 51.3910525, -2.3550604 51.3908133)",03c1c6e1-2d25-400c-b389-c1802f6eac9f,Transport,New,London Road,,60193b02-59ba-463a-b9c7-7cbd55ac7033,Pavement,2023-09-14,,,A Road Primary,48.874,,,Urban,,,,A4,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2014-03-19,Automated Process,0.4,0.4
1,"LINESTRING (-2.3550604 51.3908133, -2.3550781 51.3908061, -2.355242 51.3907434)",1423b9fd-9f87-4be9-b7ae-2a17219ed7cb,Transport,New,London Road,,79ff20df-b73c-4db8-a2a6-689613a662a8,Pavement,2023-09-14,,,A Road Primary,14.838,,,Urban,,,,A4,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2022-01-24,Automated Process,3.55,1.33
2,"LINESTRING (-2.3546581 51.3913172, -2.3547341 51.3912721, -2.3550677 51.3911799)",18144d1e-8699-4088-9e43-64718301b78c,Transport,New,Snow Hill,,80a43195-5ec9-4896-b384-c611341519e4,Pavement,2023-09-14,,,Local Road,32.669,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2022-01-24,Automated Process,1.77,1.09
3,"LINESTRING (-2.3547109 51.3912859, -2.3547341 51.3912721, -2.3553821 51.3910929)",2aa1efec-a641-4b37-a9c8-1fdd422b6538,Transport,New,Snow Hill,,80a43195-5ec9-4896-b384-c611341519e4,Pavement,2023-09-14,,,Local Road,51.518,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2022-01-24,Automated Process,2.12,0.16
4,"LINESTRING (-2.3544114 51.3910768, -2.35434 51.3910816, -2.354312 51.3910835)",2f91a878-30f1-4f0e-9e97-188e63702ed4,Transport,Modified Attributes,London Road,,5a829459-9db1-4f90-ae6c-3c55c3ea4753,Pavement,2023-11-10,,,A Road Primary,6.957,,,Urban,,,,A4,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-09-14,Automated Process,2.52,0.94
5,"LINESTRING (-2.3544391 51.3910942, -2.3544621 51.3911087, -2.3544895 51.3911259, -2.3544964 51.3911337, -2.3545019 51.3911398, -2.3545161 51.3911557, -2.3545302 51.3911715, -2.3545331 51.3911774, -2.3545542 51.3912204)",43411de4-c7bc-4e81-80be-95f6e29f6329,Transport,Modified Attributes,Snow Hill,,8cc5f41b-d88a-4ea5-ae5b-56f26373dfc8,Pavement,2023-11-10,,,Local Road,16.469,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2015-08-28,Automated Process,2.02,0.81
6,"LINESTRING (-2.3545542 51.3912204, -2.3544986 51.3911919, -2.3544882 51.3911866, -2.3544494 51.3911451)",5e00bfb4-a488-4259-81f7-ac8b8d40d415,Transport,New,Snow Hill,,f6856dd2-23ad-459a-8a08-58603823cdf7,Pavement,2023-09-14,,,Local Road,11.283,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2015-08-28,Automated Process,2.46,1.08
7,"LINESTRING (-2.3544114 51.3910768, -2.3543452 51.3910812, -2.35434 51.3910816, -2.354312 51.3910835)",7af3d05a-a954-47fe-9093-eb6302cbce4c,Transport,New,London Road,,5a829459-9db1-4f90-ae6c-3c55c3ea4753,Pavement,2023-11-10,,,A Road Primary,6.958,,,Urban,,,,A4,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2015-08-28,Automated Process,1.32,1.22
8,"LINESTRING (-2.355242 51.3907434, -2.355449 51.3906643, -2.3556943 51.3905705)",8cbd0981-54c8-41eb-90a0-c49bb3af69f5,Transport,Modified Attributes,London Road,,05b8e9df-2011-4da7-bd5e-4a7b8983af20,Pavement,2023-11-10,,,A Road Primary,36.879,,,Urban,,,,A4,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-09-14,Automated Process,3.47,0.59
9,"LINESTRING (-2.3546161 51.3912899, -2.3546066 51.3912792, -2.3545542 51.3912204)",9043dbd2-16d7-4f1f-be47-ea7155e33680,Transport,New,Snow Hill,,4a34a34e-6c6c-4cca-bfda-b146bf59aff1,Pavement,2023-09-14,,,Local Road,8.85,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2022-01-24,Automated Process,3.21,0.6
10,"LINESTRING (-2.3544248 51.3911008, -2.3544135 51.3910806)",9bc71f55-7313-47b9-b38f-f2c1d4e071d3,Transport,New,Snow Hill,,f6856dd2-23ad-459a-8a08-58603823cdf7,Pavement,2023-09-14,,,Local Road,2.382,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2015-08-28,Automated Process,1.0,1.0
11,"LINESTRING (-2.3543679 51.3911115, -2.3543893 51.3910944)",b5068cf3-7392-413a-95da-bf7fdb1b2deb,Transport,New,London Road,,0d5d9000-d815-4353-8e46-02482d1b5fb6,Pavement,2023-09-14,,,A Road Primary,2.411,,,Urban,,,,A4,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2014-03-19,Automated Process,0.95,0.95
12,"LINESTRING (-2.3550619 51.3908127, -2.3550781 51.3908061, -2.3552419 51.3907435)",c9152c45-6e72-4a6f-a4ea-95fa28e17562,Transport,New,London Road,,79ff20df-b73c-4db8-a2a6-689613a662a8,Pavement,2023-09-14,,,A Road Primary,14.698,,,Urban,,,,A4,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-09-14,Automated Process,3.16,0.9
13,"LINESTRING (-2.3546466 51.391324, -2.3546066 51.3912792, -2.3545542 51.3912204)",cb915c41-050d-4d70-ad7a-118c78815f48,Transport,New,Snow Hill,,4a34a34e-6c6c-4cca-bfda-b146bf59aff1,Pavement,2023-09-14,,,Local Road,13.2,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2015-08-28,Automated Process,2.19,1.14
14,"LINESTRING (-2.3545542 51.3912204, -2.3544986 51.3911919, -2.3544882 51.3911866, -2.3544734 51.3911708, -2.354459 51.3911553, -2.3544494 51.3911451, -2.3544351 51.3911193, -2.3544181 51.3910888)",cdc71517-5d47-4bb0-a655-1f8037a92dee,Transport,New,Snow Hill,,f6856dd2-23ad-459a-8a08-58603823cdf7,Pavement,2023-09-14,,,Local Road,17.908,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2022-01-24,Automated Process,2.29,0.93
15,"LINESTRING (-2.3543522 51.3911241, -2.3543671 51.3911122, -2.3543694 51.3911104, -2.3544114 51.3910768)",dd2264ae-d7f1-4d44-9fc5-f0eb8aef88bc,Transport,New,London Road,,0d5d9000-d815-4353-8e46-02482d1b5fb6,Pavement,2023-09-14,,,A Road Primary,6.678,,,Urban,,,,A4,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-09-14,Automated Process,1.49,1.03
16,"LINESTRING (-2.355242 51.3907434, -2.355449 51.3906643, -2.3556417 51.3905906)",df068ec4-ec03-48b9-b038-caf450ad3339,Transport,New,London Road,,05b8e9df-2011-4da7-bd5e-4a7b8983af20,Pavement,2023-11-10,,,A Road Primary,32.596,,,Urban,,,,A4,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2022-01-24,Automated Process,3.04,1.25
17,"LINESTRING (-2.3544792 51.3911195, -2.3544895 51.3911259, -2.3544964 51.3911337, -2.3545302 51.3911715, -2.3545331 51.3911774, -2.3545523 51.3912166)",e87f269f-213d-4654-bc57-ee0c6ce219f1,Transport,Modified Attributes,Snow Hill,,8cc5f41b-d88a-4ea5-ae5b-56f26373dfc8,Pavement,2023-11-10,,,Local Road,12.07,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2022-01-24,Automated Process,3.42,0.82
18,"LINESTRING (-2.3544114 51.3910768, -2.3550604 51.3908133)",f47b3c0a-ee5e-4959-85ef-fa153521b331,Transport,New,London Road,,60193b02-59ba-463a-b9c7-7cbd55ac7033,Pavement,2023-09-14,,,A Road Primary,53.83,,,Urban,,,,A4,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-09-14,Automated Process,3.5,0.94
0,"LINESTRING (-3.0255199 53.3887802, -3.0252169 53.388781, -3.0251614 53.3887811)",054c479c-5e70-4ed4-9fcf-6f3619383812,Transport,New,Borough Road,,411301a8-e1d2-42bb-9df6-6097e090c5c2,Pavement,2023-11-10,,,A Road Primary,23.85,,,Urban,,,,A552,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-06-03,Automated Process,0.4,0.4
1,"LINESTRING (-3.0255199 53.3887802, -3.0254683 53.3887804)",05b1003f-acba-452e-b5f4-d83464195c87,Transport,New,Borough Road,,411301a8-e1d2-42bb-9df6-6097e090c5c2,Pavement,2023-11-10,,,A Road Primary,3.434,,,Urban,,,,A552,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-06-03,Automated Process,1.16,1.05
2,"LINESTRING (-3.0252081 53.3882013, -3.0249516 53.3881627, -3.0247554 53.3881333, -3.0246499 53.3881252, -3.0245595 53.388117, -3.0244348 53.3881295)",083ba733-4b62-4e89-8995-36d4fa2bbf50,Transport,Modified Geometry And Attributes,The Woodlands,,d6b502b8-7775-43a0-8c8e-2d351200bd81,Pavement,2024-01-05,,,Local Road,52.613,,,Urban,,,,,2024-01-06T00:00:00Z,Ordnance Survey,Right,2024-01-04,2016-06-03,Automated Process,1.86,0.99
3,"LINESTRING (-3.0253954 53.3887805, -3.0252169 53.388781, -3.0250897 53.3887812, -3.0249732 53.388749, -3.0249656 53.3887469, -3.0249323 53.3887377)",16b1bb79-6f97-4c40-929a-a173f36a406c,Transport,Modified Attributes,Borough Road,,411301a8-e1d2-42bb-9df6-6097e090c5c2,Pavement,2023-11-10,,,A Road Primary,31.873,,,Urban,,,,A552,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-06-03,Automated Process,4.12,1.12
4,"LINESTRING (-3.0243858 53.3887362, -3.0249323 53.3887377)",1b286ebd-ed11-4d64-a111-cddd5b6ec5ff,Transport,Modified Attributes,Queensway Tunnel Approach,,c1ed5a5d-c0b9-404c-bdd9-82ab308a08d4,Pavement,2023-11-10,,,A Road Primary,36.348,Borough Road,,Urban,,,,A552,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-06-03,Automated Process,2.4,1.25
5,"LINESTRING (-3.0251341 53.3885309, -3.0251424 53.3884937)",205edee7-155c-400e-aead-069d01b9eee6,Transport,New,Lowwood Grove,,af28c520-7a51-4593-9c2e-85ff8403aadc,Pavement,2023-09-14,,,Local Road,4.17,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2016-06-03,Automated Process,1.42,0.86
6,"LINESTRING (-3.0251638 53.3887011, -3.0252233 53.3887002, -3.0253267 53.3886986, -3.0258965 53.3886898, -3.0264072 53.3886674, -3.0269172 53.3886181, -3.027037 53.3885991, -3.0272229 53.3885711)",291ea572-00ba-4210-b91a-cf68ae4f0410,Transport,Modified Attributes,Borough Road,,eb9b0b07-4625-4dd6-83b4-45f4273ac45b,Pavement,2023-11-10,,,A Road Primary,138.164,,,Urban,,,,A552,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-06-03,Automated Process,2.92,1.05
7,"LINESTRING (-3.0226132 53.388696, -3.0231145 53.3886777, -3.0239294 53.388657, -3.0240404 53.3886619, -3.0242014 53.38867, -3.0242804 53.3886838, -3.0243568 53.3887046)",3913114c-ceec-46a9-8eee-ada1f50ec89d,Transport,New,Borough Road,,19ba1f57-ec4e-4bd4-8b2e-4498ed621c88,Pavement,2023-09-14,,,A Road Primary,116.864,,,Urban,,,,A552,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2016-06-03,Automated Process,3.14,1.14
8,"LINESTRING (-3.0251828 53.3881975, -3.0249516 53.3881627, -3.0247554 53.3881333, -3.0246499 53.3881252, -3.0245595 53.388117, -3.0243645 53.3881366)",68a22f15-1c4f-48d8-8cba-78e3e9978560,Transport,New,The Woodlands,,d6b502b8-7775-43a0-8c8e-2d351200bd81,Pavement,2024-01-05,,,Local Road,55.622,,,Urban,,,,,2024-01-06T00:00:00Z,Ordnance Survey,Left,2024-01-04,2016-06-03,Automated Process,1.54,1.08
9,"LINESTRING (-3.0251341 53.3885309, -3.0252012 53.388232)",6a89bc39-c68e-40b2-bd39-2e5e5d32c56f,Transport,New,Lowwood Grove,,af28c520-7a51-4593-9c2e-85ff8403aadc,Pavement,2023-09-14,,,Local Road,33.551,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-06-03,Automated Process,1.45,1.2
10,"LINESTRING (-3.0249323 53.3887377, -3.0249652 53.3887311, -3.024975 53.3887292, -3.0250201 53.3887202)",6c2bc8fd-fee0-4a09-95e7-ca9a88770b7c,Transport,Modified Attributes,Borough Road,,7383182a-2fe5-4532-b672-ec2f75c29fa9,Pavement,2023-11-10,,,A Road Primary,6.155,,,Urban,,,,A552,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-06-03,Automated Process,2.85,1.19
11,"LINESTRING (-3.0250468 53.3887694, -3.0249732 53.388749, -3.0249656 53.3887469, -3.0249323 53.3887377)",71140d15-5ba3-4d05-8a4f-e9165b906edf,Transport,New,Borough Road,,411301a8-e1d2-42bb-9df6-6097e090c5c2,Pavement,2023-11-10,,,A Road Primary,8.397,,,Urban,,,,A552,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-06-03,Automated Process,0.4,0.4
12,"LINESTRING (-3.0243503 53.3887601, -3.02435 53.3887602, -3.024278 53.3887782, -3.0241791 53.388798, -3.0241385 53.3888041, -3.0240128 53.3888131, -3.0239149 53.3888237, -3.0231497 53.3888584)",71ca3568-6cc3-49e9-b93f-0ba485bd65b8,Transport,Modified Attributes,Borough Road,,52a0c0ad-01a6-43dc-9a46-4954f3a9bc7b,Pavement,2023-11-10,,,A Road Primary,81.017,,,Urban,,,,A552,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-06-03,Automated Process,6.9,1.35
13,"LINESTRING (-3.0251587 53.3884213, -3.0252033 53.3882225)",7ee6dbc5-3929-4f90-972b-164775136208,Transport,New,Lowwood Grove,,af28c520-7a51-4593-9c2e-85ff8403aadc,Pavement,2023-09-14,,,Local Road,22.31,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2016-06-03,Automated Process,1.32,0.93
14,"LINESTRING (-3.0243858 53.3887362, -3.023913 53.3887428, -3.0238003 53.3887458)",8b384924-6cea-4646-87cc-a9f1c5e28cd2,Transport,New,Queensway Tunnel Approach,,57b80b0a-1c00-4672-b08e-a39eccafb7ba,Pavement,2023-11-10,,,A Road,38.957,,,Urban,,,,A41,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-06-03,Automated Process,0.47,0.47
15,"LINESTRING (-3.025115 53.3886157, -3.0251271 53.388562, -3.0251341 53.3885309)",9fad4e7c-8f89-4ad9-83e7-6e357fbeca39,Transport,New,Lowwood Grove,,37ccd4d1-5ff9-450b-a603-d1d738de8bca,Pavement,2023-09-14,,,Local Road,9.519,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2016-06-03,Automated Process,0.97,0.51
16,"LINESTRING (-3.0262239 53.3887704, -3.0259437 53.3887793, -3.0255226 53.3887802)",c7ef3625-2286-4d4b-90c9-0143702080ef,Transport,Modified Attributes,Borough Road,,bf996c11-116d-4bf8-817f-b3202dcce458,Pavement,2023-11-10,,,A Road Primary,46.671,,,Urban,,,,A552,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-06-03,Automated Process,3.91,1.16
