,geometry,osid,theme,changetype,name1_text,name2_text,roadlinkid,description,versiondate,name1_language,name2_language,routehierarchy,geometry_length_m,alternatename1_text,alternatename2_text,capturespecification,versionavailabletodate,alternatename1_language,alternatename2_language,roadclassificationnumber,versionavailablefromdate,presenceofpavement_source,presenceofpavement_sideofroad,presenceofpavement_updatedate,presenceofpavement_evidencedate,presenceofpavement_capturemethod,presenceofpavement_averagewidth_m,presenceofpavement_minimumwidth_m,distance_to_point,bearing_to_point,site
14,"LINESTRING (393642.49422467576 805945.2541549762, 393706.09648011596 805977.4937829978)",618c14cb-a5e8-4402-9d18-185c629afc0b,Transport,Modified Attributes,Union Street,,dc5f9bbb-9dfe-40f2-8cfe-630784a0bc30,Pavement,2023-11-10,,,Minor Road,71.311,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2014-11-09,Automated Process,4.23,1.0,15.21624143688958,157.6608574497185,ABD7
15,"LINESTRING (393611.2929488737 805995.1418008106, 393612.55469965725 805993.2473486213, 393626.7627281176 805965.9289768757)",62c3e9db-d0a8-45c3-b0ad-e4975c964588,Transport,Modified Geometry And Attributes,Union Row,,4ca68012-3871-4046-b22d-66f53c42ef03,Pavement,2023-11-10,,,Local Road,33.07,Bon-Accord Street,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2014-11-09,Automated Process,2.27,1.11,29.801660436722436,287.50282425507186,ABD7
16,"LINESTRING (393673.17556125583 805887.4414774171, 393735.5485846684 805942.2483265245, 393736.54861837 805943.2486737662)",64b70ad4-a9ef-4c3e-aa53-9107d1c18feb,Transport,New,Langstane Place,,c2e2cfbf-ba64-4280-b583-0498ae2743f2,Pavement,2023-09-14,,,Local Road,84.448,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-08-25,Automated Process,1.78,0.89,72.62104937212585,214.17452278865474,ABD7
17,"LINESTRING (393628.4120676164 806048.9276422382, 393644.56905283313 806037.3805138925)",6c039549-50dd-4043-8aac-9a137de7efc6,Transport,New,Huntly Street,,4d9ec084-f184-4347-847e-8b5362dedb31,Pavement,2023-09-14,,,Local Road,19.854,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2014-11-09,Automated Process,1.45,1.14,69.0499682824822,339.42091884944483,ABD7
18,"LINESTRING (393642.2135427462 805936.0594460171, 393666.55041258916 805888.2533362103, 393668.6881952744 805885.4001690339)",826b9208-3570-4025-ac1b-14f0c5e6ebbc,Transport,Modified Attributes,Bon-Accord Street,,3c2a54ab-f0ee-437d-b07f-6e947357e845,Pavement,2023-11-10,,,Minor Road,57.209,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-08-25,Automated Process,2.23,0.89,36.171021377807435,179.13782650367216,ABD7
19,"LINESTRING (393613.36312600254 805991.6875751468, 393635.1488586107 805949.7964614304)",83a4d5e4-fc88-4a56-8eca-95fd0955adf4,Transport,New,Union Row,,4ca68012-3871-4046-b22d-66f53c42ef03,Pavement,2023-11-10,,,Local Road,47.226,Bon-Accord Street,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2014-11-09,Automated Process,1.75,1.05,27.845429857717313,261.9096794671421,ABD7
20,"LINESTRING (393644.56905283313 806037.3805138925, 393661.55425211304 806025.253282745, 393692.5542897124 806005.2449985009, 393698.5523975473 805998.2446844373, 393699.555380913 805997.2523647205, 393705.8252197493 805985.9657642914)",84dc64d7-6c1e-4066-ba32-0a09de351dbe,Transport,Modified Geometry And Attributes,Huntly Street,,d87720c6-e12e-4dd7-bdfa-70e0e742b03c,Pavement,2023-11-10,,,Local Road,81.313,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-08-25,Automated Process,2.58,0.8,49.785463219036934,26.628498905966524,ABD7
21,"LINESTRING (393673.6152142182 805878.3347002537, 393691.54767769855 805852.2464150786, 393700.5200517898 805835.311609869)",87e459b4-5a42-4ea6-9ee7-61eb05fd9f8c,Transport,New,Bon-Accord Street,,7a519876-7169-4790-9ceb-e052b9af752d,Pavement,2023-09-14,,,Minor Road,50.827,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2014-11-09,Automated Process,4.2,0.65,92.63120296118672,213.31943293748643,ABD7
22,"LINESTRING (393713.164046721 805981.1007614335, 393746.5517874803 805998.2482719905, 393759.55329848157 806004.2507212638, 393760.5533113862 806005.2510744)",9c7975b8-da1c-47fb-b20f-b32fbfe55aba,Transport,Modified Attributes,Union Street,,b5222ce6-90a0-47a2-8da8-8d9b97635419,Pavement,2023-11-10,,,Minor Road,53.263,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-08-25,Automated Process,2.18,0.55,57.999847990753366,101.33107059998088,ABD7
23,"LINESTRING (393567.9335722044 805975.2170199831, 393585.03049287444 805983.9620653206)",a28176e4-48a4-479d-852f-7b1bdd336828,Transport,New,Union Row,,fbd726dd-aa4d-4325-9440-a869ea017372,Pavement,2023-09-14,,,Local Road,19.202,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2009-02-11,Automated Process,2.13,1.32,72.81925793029062,247.00884001808885,ABD7
24,"LINESTRING (393642.1671859866 805945.0876856851, 393709.5545450639 805979.247293567)",a5674a45-5b21-468d-ab88-e1c1746bfe28,Transport,Modified Attributes,Union Street,,dc5f9bbb-9dfe-40f2-8cfe-630784a0bc30,Pavement,2023-11-10,,,Minor Road,75.553,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-08-25,Automated Process,4.24,1.09,15.216489874043903,152.71618435672178,ABD7
25,"LINESTRING (393586.0486779383 805988.7695403561, 393584.5534536384 805992.2562664814, 393581.5554106754 805998.2501038577, 393557.55777562945 806045.2546727167, 393556.55485572445 806046.2581591527, 393538.7816313428 806057.2849968356)",a605862d-8728-480a-a66d-b02f92151896,Transport,New,Union Wynd,,65c35125-1abf-4206-819c-b6d984cccb97,Pavement,2023-09-14,,,Local Road,85.608,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2009-02-11,Automated Process,2.25,1.23,72.9524211944792,264.71409570755804,ABD7
26,"LINESTRING (393573.85058560566 805978.2467138338, 393584.1765633142 805983.5292627809)",b68135bf-09f4-4991-9970-384b1115e97a,Transport,New,Union Row,,fbd726dd-aa4d-4325-9440-a869ea017372,Pavement,2023-09-14,,,Local Road,11.601,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2001-10-10,Automated Process,1.26,0.84,73.57134826956812,250.41181204078106,ABD7
27,"LINESTRING (393587.55779404304 806078.2473236982, 393612.5573847353 806060.251715091, 393615.5977474232 806058.0761583776)",bb4ae96f-6b65-42eb-a137-5edc116c87f5,Transport,New,Huntly Street,,8b4b94c2-bcf5-415c-b333-3667497358fa,Pavement,2023-09-14,,,Local Road,34.544,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2014-11-09,Automated Process,1.56,1.53,97.64850460511622,311.43739417611596,ABD7
28,"LINESTRING (393642.2135427462 805936.0594460171, 393666.55041258916 805888.2533362103, 393668.6278018652 805885.4781883375)",c0542461-7b5e-4b25-81e7-dbdb6c9b8f45,Transport,Modified Attributes,Bon-Accord Street,,3c2a54ab-f0ee-437d-b07f-6e947357e845,Pavement,2023-11-10,,,Minor Road,57.101,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-08-25,Automated Process,2.18,1.06,36.171021377807435,179.1209488444365,ABD7
29,"LINESTRING (393549.7378725212 805785.5097041811, 393581.54831163527 805810.2505086145, 393617.55277714244 805839.2485641361, 393667.52781842987 805882.496492641)",c3335eae-2314-4a6a-ab3f-956428df6fa4,Transport,New,Langstane Place,,6ae00f29-9509-4642-9bd7-9df6ebc2acf1,Pavement,2023-09-14,,,Local Road,152.622,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-08-25,Automated Process,2.27,1.16,87.56364926863263,122.93721746230409,ABD7
30,"LINESTRING (393533.8003998328 805889.6428634911, 393634.57865322044 805941.2144752189)",c4b3ad2c-fe36-4567-92c9-909cd29467fe,Transport,Modified Attributes,Union Street,,c7747d96-439d-4961-ae07-0fde70a3476e,Pavement,2023-11-10,,,Minor Road,113.207,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-08-25,Automated Process,4.07,0.82,35.58306707158382,128.94801503637416,ABD7
31,"LINESTRING (393737.97649439954 805939.1609716996, 393769.54707383906 805848.7416028542, 393779.94953657984 805817.0658208053)",dacf0ce9-e8da-49df-ab4b-a4b1a9022547,Transport,New,Gordon Street,,9989eee4-5dda-4a16-8305-d280dd2cc232,Pavement,2023-11-10,,,Local Road,129.105,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2014-11-09,Automated Process,1.17,0.8,87.0121398852421,275.8795788147414,ABD7
32,"LINESTRING (393536.816146083 805959.3030018596, 393559.6182574843 805970.9666071385)",e56bb38e-fede-4326-9afd-2f7c389ca867,Transport,New,Union Row,,fbd726dd-aa4d-4325-9440-a869ea017372,Pavement,2023-09-14,,,Local Road,25.615,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2001-10-10,Automated Process,1.68,0.89,96.76315106749209,212.0336051849597,ABD7
33,"LINESTRING (393736.54861837 805943.2486737662, 393769.55236475886 805966.3415268052, 393773.77473403583 805969.2961874884)",eaa28917-1dfb-4b9a-a69e-027210d3dbf5,Transport,New,Langstane Place,,e533fd01-7dd8-439b-bd78-c7e23d25fef9,Pavement,2023-09-14,,,Local Road,45.434,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-08-25,Automated Process,1.14,1.06,84.32100113820839,162.62444172257983,ABD7
34,"LINESTRING (393531.03840268444 805956.362196051, 393561.26557759644 805971.8100340785)",ecf74034-e2a5-4f8a-bf44-e17d11524000,Transport,New,Union Row,,fbd726dd-aa4d-4325-9440-a869ea017372,Pavement,2023-09-14,,,Local Road,33.945,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2009-02-11,Automated Process,3.18,1.2,95.13417369078489,209.68401421532124,ABD7
35,"LINESTRING (393590.40841725457 805986.6809357826, 393605.5548472784 805994.2491425897, 393610.320277994 805996.1563585345)",f1dafcda-230f-43d2-aab4-078d43ae6bf8,Transport,New,Union Row,,c47237b2-0de5-462b-8435-fc6c7eb16279,Pavement,2023-09-14,,,Local Road,22.071,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-08-25,Automated Process,4.53,1.48,53.28386058272467,280.45505955495105,ABD7
36,"LINESTRING (393586.10292886884 805988.635868829, 393584.5534536384 805992.2562664814, 393581.5554106754 805998.2501038577, 393561.4608085355 806037.6006909036)",f5954d5b-9131-4868-b2bf-a455edb8cebf,Transport,New,Union Wynd,,65c35125-1abf-4206-819c-b6d984cccb97,Pavement,2023-09-14,,,Local Road,54.824,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2019-08-25,Automated Process,1.78,1.36,72.86462843765997,267.48161844033984,ABD7
37,"LINESTRING (393673.43007202103 805887.6637230441, 393732.5975117796 805939.6479675228)",f98b737b-75a4-49ef-92a1-b51901ba8e27,Transport,New,Langstane Place,,c2e2cfbf-ba64-4280-b583-0498ae2743f2,Pavement,2023-09-14,,,Local Road,78.765,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2014-11-09,Automated Process,1.8,0.92,72.62439767613166,213.51392502029236,ABD7
0,"LINESTRING (394398.0114394469 804836.224613085, 394398.59556801664 804838.4168319978)",00edfebf-d285-4d73-822c-2da511d0addf,Transport,New,Wellington Road,,4b8317a3-abe1-49cc-a5af-e12d191a1503,Pavement,2023-09-14,,,A Road,2.27,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2014-11-09,Automated Process,1.27,1.27,55.43581373461256,359.4869601458168,ABD8
1,"LINESTRING (394387.5133443363 804769.2571992766, 394394.328917421 804790.899722839)",1ce712a1-43e6-4a1f-9576-c51e7d33e86e,Transport,New,Wellington Road,,79c2c338-6fc2-4b0c-83cc-2553960f6981,Pavement,2023-09-14,,,A Road,22.699,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2019-08-25,Automated Process,2.78,0.73,6.071359655660855,96.14023052377547,ABD8
2,"LINESTRING (394403.5106304509 804755.2531007844, 394395.5105861295 804761.2532534876, 394394.22215797025 804761.9007011432)",3cb38aab-c5e2-499f-a3ce-aa8862884432,Transport,Modified Attributes,Grampian Place,,c0e4d364-25b5-44d4-baa6-12bfaefd65d6,Pavement,2023-11-10,,,Local Road,11.445,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2018-10-26,Automated Process,1.9,1.1,19.174489895193272,183.4947027573231,ABD8
3,"LINESTRING (394429.8136865887 804866.615920761, 394438.227920266 804862.6079133442)",3fbaba1f-db15-42d3-b21c-e6e111dabcf2,Transport,New,Menzies Road,,c6bb84ca-3dad-41d3-982b-f47f416d525f,Pavement,2023-09-14,,,Local Road,9.316,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-08-25,Automated Process,0.98,0.75,91.37503611884371,356.7845130961764,ABD8
4,"LINESTRING (394386.5300012146 804767.2881782912, 394387.5133443363 804769.2571992766)",4716c7bf-a2c6-402a-adb9-0ca513c1be48,Transport,New,Wellington Road,,b34ce50f-36a6-4fb8-8d7e-49111325186f,Pavement,2023-09-14,,,A Road,2.196,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2019-08-25,Automated Process,1.1,0.7,15.263676402385562,140.53805062519461,ABD8
5,"LINESTRING (394429.8136865887 804866.615920761, 394438.4396378615 804862.5074332039)",49454e0f-1a40-4985-b987-552907b710d4,Transport,New,Menzies Road,,c6bb84ca-3dad-41d3-982b-f47f416d525f,Pavement,2023-09-14,,,Local Road,9.548,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2019-08-25,Automated Process,1.88,0.82,91.37530588667916,356.7463099926645,ABD8
6,"LINESTRING (394422.5139611151 804827.2516697894, 394436.51690552285 804855.2519346823, 394438.43524571875 804859.3125208094)",560e3829-5cdc-44fc-b0f7-ed8a1caa10b1,Transport,New,Menzies Road,,2e1e51e3-c8b2-4ef6-8e4c-10a4c04ef6f0,Pavement,2023-09-14,,,Local Road,35.797,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2019-08-25,Automated Process,2.39,0.82,52.76120214920592,344.5690202647369,ABD8
7,"LINESTRING (394380.51082971296 804761.2517923492, 394384.5147478899 804763.2500153615, 394386.2629213492 804766.754207108)",565da369-0d8a-41b3-95dd-83e642d5ab91,Transport,New,Wellington Road,,b34ce50f-36a6-4fb8-8d7e-49111325186f,Pavement,2023-09-14,,,A Road,8.389,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2014-11-09,Automated Process,0.4,0.4,17.987464004629185,142.61323782952036,ABD8
8,"LINESTRING (394465.2682479613 804739.816952516, 394475.7185638281 804737.2088844272)",5afcf37b-d5cc-4c8f-8660-adaf07be532f,Transport,New,Grampian Place,,1ea49d90-5f69-4276-ac50-f56c8fd9139c,Pavement,2023-09-14,,,Local Road,10.77,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2018-10-26,Automated Process,2.62,1.16,79.18297828555215,227.10935378329964,ABD8
9,"LINESTRING (394403.5106304509 804755.2531007844, 394390.5158394147 804756.2507212649, 394385.5145347314 804755.2557668684, 394381.5119849335 804754.2482995437, 394376.51583595265 804748.2550276592)",5cfb6e51-2bcd-4a53-9983-70b7934833f2,Transport,Modified Attributes,Grampian Place,,66819ad7-07e9-4e08-b9d5-49e270c1e6c6,Pavement,2023-11-10,,,Local Road,30.071,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2018-10-26,Automated Process,2.9,1.11,25.00377523124511,163.17904038536392,ABD8
10,"LINESTRING (394381.5119849335 804754.2482995437, 394376.51583595265 804748.2550276592)",5e830c9a-0c34-4de3-8d6f-59a0682260ab,Transport,Modified Attributes,Grampian Place,,66819ad7-07e9-4e08-b9d5-49e270c1e6c6,Pavement,2023-11-10,,,Local Road,7.81,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2014-11-09,Automated Process,1.98,1.21,30.991634650053562,150.53838043738358,ABD8
11,"LINESTRING (394458.38257912645 804702.1441609104, 394469.3003037955 804700.4260060312)",6e029133-9b2a-41c4-b013-d2aefa50c711,Transport,Modified Attributes,Walker Gardens,,35a9375b-894a-4d9f-9810-482192980057,Pavement,2023-11-10,,,Local Road,11.053,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2018-10-26,Automated Process,1.95,1.39,99.45201628436155,190.34697277190506,ABD8
12,"LINESTRING (394398.061959123 804802.7613918664, 394404.51265257085 804823.2578299412, 394406.6096556574 804829.5445780343)",6fe06ebd-dcce-4377-bd96-3389bece39ff,Transport,New,Wellington Road,,79c2c338-6fc2-4b0c-83cc-2553960f6981,Pavement,2023-09-14,,,A Road,28.118,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2019-08-25,Automated Process,2.14,1.05,21.97724347154884,353.3669042567031,ABD8
13,"LINESTRING (394376.51583595265 804748.2550276592, 394379.35550340783 804757.4907408211)",71fe83d2-6af3-4bc5-b595-e4586746905f,Transport,Modified Attributes,Wellington Road,,efe6fa60-9a0e-478e-97b5-73bd542dc61a,Pavement,2023-11-10,,,A Road,9.67,,,Urban,,,,A956,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2018-10-26,Automated Process,2.73,1.38,29.538467066657358,147.46887039965975,ABD8
14,"LINESTRING (394380.51082971296 804761.2517923492, 394379.51294791664 804766.2514995466, 394398.59556801664 804838.4168319978)",7275921d-547d-43c4-b083-c67faac3df07,Transport,New,Wellington Road,,4b8317a3-abe1-49cc-a5af-e12d191a1503,Pavement,2023-09-14,,,A Road,79.741,,,Urban,,,,A956,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2014-11-09,Automated Process,2.7,1.04,13.682914454946907,24.30649727597131,ABD8
15,"LINESTRING (394403.28085647867 804755.4315324953, 394395.5105861295 804761.2532534876, 394391.5122105973 804763.2514427273, 394387.5133443363 804769.2571992766)",73ece0d2-42ed-4097-987d-810b1d15ac1c,Transport,Modified Attributes,Grampian Place,,c0e4d364-25b5-44d4-baa6-12bfaefd65d6,Pavement,2023-11-10,,,Local Road,21.395,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-08-25,Automated Process,3.38,0.9,15.263676402385562,172.22213778468358,ABD8
16,"LINESTRING (394444.44493772613 804704.3340394571, 394458.38257912645 804702.1441609104)",7906b347-5d0b-4166-a449-65b2638d39cf,Transport,New,Walker Gardens,,74d99d33-3221-45b6-b40b-fe9fc82a41ef,Pavement,2023-09-14,,,Local Road,14.106,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2018-10-26,Automated Process,2.08,1.54,89.71335268640868,190.74448219405315,ABD8
17,"LINESTRING (394480.36216048384 804742.2231306734, 394482.5133958104 804757.2596871902, 394491.51370371424 804792.2579326105, 394499.5128570783 804812.251464089, 394514.51011328254 804846.2508521983, 394532.51077266684 804881.2592573147, 394548.5149612707 804908.255306479, 394563.5148390218 804931.2563372238, 394570.9065775978 804941.1094646283)",7d6f1a0f-f897-4e9c-87d5-871b91920284,Transport,Modified Geometry And Attributes,Walker Road,,657f92c5-a5bd-4d98-afcf-1e16b4d47397,Pavement,2023-11-10,,,Local Road,220.547,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2014-11-09,Automated Process,3.28,0.89,88.1846868312244,338.1145268736429,ABD8
